Date,Region,Type,Units,Sales
07/11/2020,East,Children's Clothing,18,306
9/23/2020,North,Children's Clothing,14,448
04/02/2020,South,Women's Clothing,17,425
2/28/2020,East,Children's Clothing,26,832
3/19/2020,West,Women's Clothing,3,33
02/05/2020,North,Women's Clothing,33,627
1/24/2020,South,Women's Clothing,12,396
3/25/2020,East,Women's Clothing,29,609
01/03/2020,North,Children's Clothing,18,486
11/03/2020,East,Children's Clothing,34,374
4/16/2020,South,Women's Clothing,16,352
08/09/2020,North,Men's Clothing,,270
05/01/2020,East,Men's Clothing,10,140
08/11/2020,East,Children's Clothing,12,348
01/07/2020,East,Men's Clothing,30,360
11/26/2020,West,Men's Clothing,27,864
06/12/2020,East,Women's Clothing,35,1050
8/20/2020,North,Children's Clothing,18,378
6/16/2020,North,Women's Clothing,34,884
03/08/2020,North,Men's Clothing,,644
9/14/2020,North,Children's Clothing,35,630
6/23/2020,West,Women's Clothing,18,288
07/10/2020,East,Children's Clothing,10,310
01/04/2020,North,Women's Clothing,19,361
6/18/2020,West,Men's Clothing,5,70
5/23/2020,North,Men's Clothing,,240
02/01/2020,East,Men's Clothing,21,420
09/02/2020,North,Children's Clothing,17,561
1/19/2020,East,Men's Clothing,3,63
6/29/2020,East,Women's Clothing,24,504
7/13/2020,West,Children's Clothing,30,450
10/09/2020,West,Men's Clothing,19,513
12/20/2020,East,Women's Clothing,30,930
11/28/2020,West,Men's Clothing,8,168
11/04/2020,East,Men's Clothing,19,475
12/17/2020,West,Children's Clothing,25,575
1/22/2020,North,Women's Clothing,23,276
4/24/2020,North,Men's Clothing,,900
12/30/2020,North,Children's Clothing,26,390
10/27/2020,East,Children's Clothing,18,450
06/06/2020,East,Women's Clothing,28,560
08/10/2020,North,Children's Clothing,22,242
3/17/2020,South,Children's Clothing,33,924
09/06/2020,East,Women's Clothing,11,363
05/11/2020,East,Men's Clothing,35,700
4/29/2020,East,Women's Clothing,14,462
7/30/2020,South,Children's Clothing,18,486
8/23/2020,North,Women's Clothing,27,324
1/31/2020,West,Men's Clothing,16,432
2/13/2020,West,Men's Clothing,24,552
8/14/2020,North,Women's Clothing,7,154
6/14/2020,East,Men's Clothing,32,416
07/05/2020,South,Women's Clothing,21,231
8/23/2020,East,Men's Clothing,20,540
7/30/2020,East,Women's Clothing,21,399
05/01/2020,North,Children's Clothing,31,837
4/20/2020,North,Children's Clothing,24,744
7/23/2020,South,Men's Clothing,27,351
12/25/2020,East,Men's Clothing,13,403
7/13/2020,North,Women's Clothing,15,375
07/11/2020,West,Women's Clothing,26,728
6/23/2020,West,Women's Clothing,20,360
04/09/2020,North,Men's Clothing,,493
9/15/2020,South,Children's Clothing,16,416
10/28/2020,East,Men's Clothing,34,986
10/21/2020,East,Men's Clothing,7,133
8/26/2020,North,Women's Clothing,31,961
5/29/2020,North,Women's Clothing,18,522
10/05/2020,North,Women's Clothing,25,375
6/15/2020,North,Men's Clothing,,247
12/01/2020,West,Children's Clothing,31,992
11/04/2020,South,Men's Clothing,28,868
2/17/2020,West,Men's Clothing,27,891
05/08/2020,West,Children's Clothing,28,784
03/04/2020,South,Children's Clothing,27,756
03/07/2020,North,Women's Clothing,11,363
8/14/2020,North,Children's Clothing,34,1088
11/29/2020,North,Men's Clothing,,276
4/15/2020,North,Men's Clothing,,304
5/29/2020,North,Men's Clothing,,348
11/30/2020,North,Men's Clothing,,180
12/11/2020,South,Women's Clothing,13,429
07/06/2020,North,Children's Clothing,7,189
12/03/2020,East,Children's Clothing,9,117
12/25/2020,East,Children's Clothing,25,475
11/19/2020,East,Women's Clothing,8,256
05/12/2020,East,Women's Clothing,29,812
06/02/2020,East,Men's Clothing,14,224
5/14/2020,North,Women's Clothing,5,160
08/03/2020,East,Children's Clothing,33,462
11/26/2020,East,Women's Clothing,22,440
01/01/2020,East,Men's Clothing,18,234
4/14/2020,East,Children's Clothing,12,264
11/05/2020,North,Children's Clothing,31,434
7/30/2020,North,Children's Clothing,10,210
9/18/2020,West,Men's Clothing,22,440
11/13/2020,East,Children's Clothing,3,72
7/21/2020,North,Men's Clothing,,665
03/04/2020,East,Women's Clothing,4,116
7/23/2020,North,Children's Clothing,31,620
12/13/2020,South,Women's Clothing,26,416
4/19/2020,East,Women's Clothing,24,672
09/05/2020,East,Children's Clothing,34,1020
05/07/2020,East,Women's Clothing,5,100
9/28/2020,East,Men's Clothing,16,480
3/25/2020,North,Men's Clothing,,928
3/16/2020,East,Children's Clothing,25,525
10/17/2020,East,Children's Clothing,29,377
5/20/2020,West,Women's Clothing,13,416
02/04/2020,East,Men's Clothing,25,700
08/10/2020,East,Women's Clothing,11,143
08/05/2020,East,Children's Clothing,28,336
9/25/2020,North,Children's Clothing,33,1023
3/29/2020,South,Men's Clothing,18,216
1/21/2020,North,Children's Clothing,24,408
11/07/2020,North,Women's Clothing,4,116
5/29/2020,East,Women's Clothing,10,270
9/15/2020,East,Men's Clothing,26,728
12/28/2020,East,Children's Clothing,3,78
2/23/2020,South,Men's Clothing,24,624
7/28/2020,North,Children's Clothing,19,285
4/27/2020,West,Children's Clothing,25,600
9/28/2020,South,Men's Clothing,21,609
11/27/2020,West,Children's Clothing,28,700
05/04/2020,North,Women's Clothing,19,247
7/20/2020,West,Men's Clothing,27,324
02/05/2020,West,Children's Clothing,27,297
12/06/2020,East,Children's Clothing,27,702
7/18/2020,North,Men's Clothing,,350
4/30/2020,North,Women's Clothing,21,525
10/10/2020,West,Women's Clothing,8,232
11/28/2020,North,Women's Clothing,29,580
02/03/2020,West,Men's Clothing,26,416
02/03/2020,East,Men's Clothing,15,720
09/04/2020,North,Children's Clothing,3,184
01/07/2020,West,Women's Clothing,3,350
04/01/2020,West,Children's Clothing,13,240
11/28/2020,North,Children's Clothing,11,170
12/14/2020,North,Women's Clothing,7,418
5/17/2020,West,Women's Clothing,29,154
01/10/2020,East,Women's Clothing,19,52
02/12/2020,East,Women's Clothing,3,330
6/18/2020,East,Children's Clothing,28,162
06/09/2020,North,Women's Clothing,26,644
7/13/2020,North,Children's Clothing,34,575
09/12/2020,North,Men's Clothing,,529
4/15/2020,East,Children's Clothing,31,520
07/11/2020,West,Women's Clothing,4,459
5/17/2020,South,Women's Clothing,17,90
04/10/2020,East,Men's Clothing,14,420
5/27/2020,East,Women's Clothing,26,63
06/09/2020,East,Men's Clothing,30,640
06/01/2020,North,Women's Clothing,27,495
4/15/2020,East,Women's Clothing,17,84
02/08/2020,South,Men's Clothing,28,512
6/13/2020,East,Children's Clothing,30,336
02/10/2020,North,Women's Clothing,31,480
1/17/2020,East,Men's Clothing,14,36
5/30/2020,North,Women's Clothing,16,99
7/29/2020,East,Women's Clothing,34,416
12/01/2020,West,Children's Clothing,24,187
12/08/2020,East,Women's Clothing,17,126
1/30/2020,East,Children's Clothing,18,435
06/08/2020,North,Men's Clothing,,437
03/02/2020,East,Children's Clothing,31,36
4/15/2020,East,Men's Clothing,34,364
7/13/2020,East,Men's Clothing,26,598
10/26/2020,South,Children's Clothing,30,408
05/02/2020,South,Women's Clothing,4,363
07/03/2020,East,Women's Clothing,13,341
6/21/2020,East,Children's Clothing,32,108
10/26/2020,East,Women's Clothing,4,442
1/22/2020,East,Women's Clothing,23,308
2/22/2020,North,Children's Clothing,3,416
6/30/2020,North,Children's Clothing,6,690
07/12/2020,South,Women's Clothing,26,729
06/03/2020,South,Men's Clothing,23,357
12/23/2020,North,Men's Clothing,,476
8/28/2020,North,Women's Clothing,20,630
3/28/2020,East,Children's Clothing,17,558
7/31/2020,East,Men's Clothing,22,252
12/17/2020,North,Women's Clothing,26,336
2/26/2020,East,Men's Clothing,15,680
10/31/2020,South,Children's Clothing,32,504
5/16/2020,East,Women's Clothing,24,238
2/16/2020,North,Women's Clothing,14,378
12/30/2020,West,Women's Clothing,24,704
10/15/2020,North,Children's Clothing,11,1023
10/27/2020,North,Children's Clothing,16,816
11/26/2020,North,Children's Clothing,6,728
8/26/2020,North,Men's Clothing,,720
5/31/2020,East,Women's Clothing,3,124
8/14/2020,East,Women's Clothing,22,390
04/11/2020,South,Women's Clothing,30,640
5/25/2020,North,Women's Clothing,23,56
3/25/2020,East,Women's Clothing,13,713
10/12/2020,North,Children's Clothing,25,72
01/03/2020,North,Men's Clothing,,78
09/10/2020,East,Women's Clothing,15,650
02/12/2020,South,Women's Clothing,34,759
6/20/2020,East,Women's Clothing,23,1054
7/21/2020,North,Women's Clothing,19,280
3/15/2020,East,Women's Clothing,27,459
9/30/2020,South,Women's Clothing,12,396
6/30/2020,South,Children's Clothing,30,572
3/16/2020,South,Women's Clothing,22,315
08/05/2020,West,Children's Clothing,32,640
8/19/2020,South,Women's Clothing,28,696
9/13/2020,South,Women's Clothing,29,392
5/21/2020,North,Children's Clothing,31,480
09/06/2020,North,Children's Clothing,7,121
8/28/2020,South,Women's Clothing,7,192
11/22/2020,North,Women's Clothing,18,144
9/26/2020,East,Women's Clothing,23,264
7/28/2020,East,Women's Clothing,21,78
07/05/2020,East,Children's Clothing,5,418
9/18/2020,East,Men's Clothing,13,810
07/04/2020,North,Women's Clothing,11,529
08/03/2020,West,Women's Clothing,29,260
10/16/2020,East,Children's Clothing,30,475
7/28/2020,East,Women's Clothing,20,255
1/14/2020,East,Women's Clothing,4,375
5/28/2020,South,Women's Clothing,13,1122
3/22/2020,North,Women's Clothing,15,575
02/08/2020,East,Women's Clothing,33,513
5/26/2020,West,Men's Clothing,23,432
1/21/2020,West,Men's Clothing,13,192
11/04/2020,East,Women's Clothing,25,930
02/08/2020,North,Women's Clothing,17,308
1/15/2020,East,Women's Clothing,21,768
05/08/2020,East,Children's Clothing,29,364
06/06/2020,North,Women's Clothing,12,928
04/05/2020,North,Children's Clothing,29,775
9/22/2020,West,Women's Clothing,28,224
3/21/2020,East,Women's Clothing,16,161
12/15/2020,East,Children's Clothing,19,450
4/18/2020,East,Women's Clothing,6,759
12/14/2020,East,Men's Clothing,13,294
12/14/2020,East,Children's Clothing,35,125
10/01/2020,North,Men's Clothing,,195
1/17/2020,East,Children's Clothing,18,220
7/22/2020,North,Children's Clothing,34,348
11/02/2020,West,Children's Clothing,19,660
9/22/2020,North,Women's Clothing,9,520
03/02/2020,West,Men's Clothing,32,56
10/01/2020,West,Children's Clothing,26,325
7/30/2020,East,Women's Clothing,14,180
04/07/2020,West,Children's Clothing,22,990
08/03/2020,East,Women's Clothing,11,460
11/03/2020,South,Men's Clothing,3,351
9/25/2020,East,Children's Clothing,18,800
10/15/2020,South,Women's Clothing,22,527
12/13/2020,North,Men's Clothing,,525
07/04/2020,South,Children's Clothing,33,348
5/26/2020,North,Women's Clothing,11,336
3/27/2020,West,Children's Clothing,7,638
10/31/2020,North,Children's Clothing,6,504
2/21/2020,East,Children's Clothing,14,400
5/17/2020,South,Men's Clothing,24,266
5/15/2020,East,Children's Clothing,9,120
05/10/2020,East,Women's Clothing,7,260
8/15/2020,East,Children's Clothing,27,595
10/28/2020,East,Men's Clothing,18,391
5/26/2020,East,Men's Clothing,33,486
5/26/2020,North,Women's Clothing,10,782
8/27/2020,South,Children's Clothing,23,494
10/15/2020,South,Children's Clothing,21,117
1/31/2020,West,Children's Clothing,9,768
4/22/2020,East,Women's Clothing,22,806
01/01/2020,East,Women's Clothing,12,322
01/08/2020,West,Women's Clothing,30,440
11/13/2020,West,Men's Clothing,26,297
9/14/2020,North,Women's Clothing,13,72
09/12/2020,West,Children's Clothing,16,288
11/08/2020,East,Women's Clothing,18,352
5/23/2020,East,Men's Clothing,34,204
11/17/2020,West,Children's Clothing,23,990
6/14/2020,West,Children's Clothing,7,264
08/08/2020,North,Women's Clothing,17,168
12/03/2020,North,Women's Clothing,31,162
10/31/2020,West,Women's Clothing,33,196
7/16/2020,West,Children's Clothing,8,288
11/14/2020,North,Men's Clothing,,189
9/22/2020,North,Women's Clothing,29,98
03/12/2020,East,Women's Clothing,20,810
4/26/2020,East,Men's Clothing,21,342
7/30/2020,North,Children's Clothing,34,990
10/13/2020,North,Men's Clothing,,280
3/14/2020,North,Women's Clothing,3,552
05/01/2020,West,Men's Clothing,29,252
05/06/2020,East,Men's Clothing,13,252
1/29/2020,East,Men's Clothing,10,440
01/03/2020,South,Children's Clothing,26,324
08/03/2020,North,Men's Clothing,,690
3/28/2020,West,Children's Clothing,10,286
12/24/2020,North,Children's Clothing,7,403
03/05/2020,West,Children's Clothing,6,176
4/23/2020,East,Women's Clothing,14,360
8/25/2020,East,Children's Clothing,18,544
9/23/2020,East,Women's Clothing,25,736
12/09/2020,East,Women's Clothing,26,140
07/10/2020,East,Women's Clothing,15,391
8/31/2020,North,Women's Clothing,7,589
1/29/2020,North,Men's Clothing,,891
07/09/2020,South,Men's Clothing,21,128
1/17/2020,South,Women's Clothing,12,208
3/23/2020,South,Men's Clothing,29,522
10/26/2020,East,Men's Clothing,9,440
8/21/2020,North,Men's Clothing,,231
09/11/2020,North,Women's Clothing,5,1122
2/25/2020,East,Men's Clothing,3,330
4/28/2020,North,Children's Clothing,34,99
10/01/2020,West,Children's Clothing,5,493
5/27/2020,East,Men's Clothing,18,403
3/21/2020,East,Children's Clothing,33,310
07/01/2020,South,Women's Clothing,22,468
12/28/2020,North,Men's Clothing,,594
05/02/2020,East,Children's Clothing,7,270
05/02/2020,East,Women's Clothing,4,105
2/29/2020,East,Men's Clothing,15,150
10/28/2020,East,Men's Clothing,7,182
1/17/2020,East,Women's Clothing,15,360
6/16/2020,North,Men's Clothing,,350
12/13/2020,East,Men's Clothing,11,546
10/14/2020,East,Children's Clothing,17,225
05/02/2020,North,Children's Clothing,28,182
02/12/2020,South,Children's Clothing,25,408
6/18/2020,North,Men's Clothing,,546
4/28/2020,East,Men's Clothing,29,384
09/05/2020,North,Children's Clothing,35,319
12/19/2020,East,Men's Clothing,6,171
5/30/2020,South,Men's Clothing,9,143
6/23/2020,East,Men's Clothing,21,145
1/29/2020,East,Men's Clothing,5,60
12/20/2020,North,Women's Clothing,29,748
12/03/2020,East,Women's Clothing,30,95
04/03/2020,South,Women's Clothing,23,360
11/18/2020,East,Children's Clothing,8,990
12/16/2020,West,Men's Clothing,26,418
05/03/2020,North,Women's Clothing,13,310
11/01/2020,North,Men's Clothing,,203
7/25/2020,East,Women's Clothing,33,112
03/10/2020,North,Women's Clothing,31,225
5/20/2020,North,Children's Clothing,27,161
03/01/2020,West,Men's Clothing,8,345
1/21/2020,East,Children's Clothing,3,870
01/04/2020,East,Men's Clothing,23,330
8/26/2020,North,Men's Clothing,,306
2/20/2020,North,Men's Clothing,,728
3/21/2020,East,Women's Clothing,35,625
5/19/2020,East,Men's Clothing,6,700
12/17/2020,East,Women's Clothing,8,522
02/04/2020,East,Children's Clothing,7,385
06/11/2020,North,Women's Clothing,17,156
10/31/2020,South,Children's Clothing,29,144
06/12/2020,West,Children's Clothing,3,567
7/16/2020,South,Women's Clothing,30,55
2/26/2020,East,Women's Clothing,14,493
02/04/2020,North,Women's Clothing,26,660
6/24/2020,East,Children's Clothing,30,644
7/21/2020,East,Women's Clothing,5,240
5/13/2020,South,Children's Clothing,33,520
02/08/2020,North,Men's Clothing,,156
09/08/2020,East,Women's Clothing,3,676
6/25/2020,East,Women's Clothing,15,495
7/17/2020,North,Children's Clothing,27,837
3/29/2020,West,Children's Clothing,12,756
04/01/2020,South,Children's Clothing,12,176
12/26/2020,East,Men's Clothing,3,48
5/31/2020,East,Men's Clothing,27,506
08/03/2020,East,Children's Clothing,7,324
7/17/2020,North,Men's Clothing,,726
2/14/2020,West,Children's Clothing,30,910
8/20/2020,North,Women's Clothing,3,84
12/08/2020,North,Men's Clothing,,208
11/15/2020,South,Women's Clothing,31,98
6/20/2020,East,Women's Clothing,10,527
11/24/2020,East,Children's Clothing,13,319
5/17/2020,East,Men's Clothing,25,42
3/28/2020,East,Men's Clothing,5,840
2/24/2020,East,Children's Clothing,11,154
06/08/2020,East,Women's Clothing,27,754
10/07/2020,East,Men's Clothing,23,990
01/09/2020,South,Women's Clothing,28,105
5/30/2020,East,Women's Clothing,5,858
02/06/2020,West,Women's Clothing,8,196
03/02/2020,East,Men's Clothing,19,63
03/04/2020,East,Women's Clothing,18,495
6/29/2020,East,Men's Clothing,13,729
11/23/2020,East,Women's Clothing,20,132
4/20/2020,North,Women's Clothing,3,336
10/11/2020,South,Children's Clothing,18,51
1/27/2020,North,Women's Clothing,10,729
3/20/2020,East,Children's Clothing,12,91
7/22/2020,East,Women's Clothing,18,200
12/06/2020,East,Women's Clothing,31,600
6/14/2020,East,Children's Clothing,25,90
7/21/2020,East,Women's Clothing,28,418
03/04/2020,East,Women's Clothing,28,682
1/20/2020,North,Women's Clothing,26,250
11/19/2020,West,Men's Clothing,18,299
02/01/2020,North,Women's Clothing,26,525
12/17/2020,East,Women's Clothing,16,100
04/03/2020,East,Women's Clothing,5,352
2/22/2020,East,Children's Clothing,30,378
8/22/2020,East,Children's Clothing,32,437
12/12/2020,East,Children's Clothing,30,560
04/08/2020,North,Men's Clothing,,145
2/13/2020,North,Children's Clothing,15,200
06/06/2020,East,Children's Clothing,16,570
1/30/2020,East,Women's Clothing,25,324
06/07/2020,South,Children's Clothing,35,247
10/03/2020,West,Men's Clothing,10,280
12/17/2020,South,Men's Clothing,31,81
01/08/2020,South,Men's Clothing,34,486
5/13/2020,East,Children's Clothing,21,140
03/07/2020,North,Men's Clothing,,336
12/16/2020,South,Women's Clothing,5,360
1/28/2020,North,Men's Clothing,,465
10/17/2020,East,Women's Clothing,23,525
07/09/2020,South,Men's Clothing,15,924
12/02/2020,East,Children's Clothing,19,756
9/29/2020,North,Women's Clothing,26,832
02/12/2020,North,Women's Clothing,29,522
11/12/2020,East,Men's Clothing,26,624
2/15/2020,East,Men's Clothing,20,448
2/24/2020,North,Women's Clothing,7,115
10/18/2020,North,Women's Clothing,16,840
12/21/2020,North,Women's Clothing,11,1056
06/07/2020,East,Men's Clothing,33,840
2/28/2020,East,Men's Clothing,34,39
10/05/2020,East,Men's Clothing,8,270
5/21/2020,North,Men's Clothing,,288
06/11/2020,South,Men's Clothing,9,700
4/26/2020,North,Children's Clothing,35,490
06/09/2020,East,Men's Clothing,30,330
04/08/2020,North,Women's Clothing,9,372
01/08/2020,North,Women's Clothing,18,1054
10/07/2020,North,Women's Clothing,30,462
1/23/2020,North,Men's Clothing,,87
12/17/2020,East,Women's Clothing,26,60
7/22/2020,East,Men's Clothing,26,500
03/11/2020,East,Women's Clothing,12,713
11/09/2020,East,Men's Clothing,21,495
1/15/2020,East,Men's Clothing,31,266
8/20/2020,North,Children's Clothing,16,416
04/08/2020,North,Women's Clothing,18,638
10/17/2020,West,Women's Clothing,14,806
6/17/2020,East,Women's Clothing,13,420
2/23/2020,East,Men's Clothing,8,91
6/22/2020,East,Men's Clothing,14,400
1/17/2020,North,Women's Clothing,33,319
5/27/2020,East,Women's Clothing,16,594
6/29/2020,East,Women's Clothing,11,748
1/18/2020,North,Men's Clothing,,216
12/31/2020,East,Women's Clothing,35,112
1/13/2020,North,Children's Clothing,27,99
5/14/2020,North,Children's Clothing,8,1015
05/02/2020,North,Men's Clothing,,450
9/22/2020,East,Children's Clothing,27,216
8/14/2020,East,Children's Clothing,16,216
02/06/2020,South,Women's Clothing,29,630
4/23/2020,East,Children's Clothing,31,364
09/11/2020,South,Children's Clothing,15,832
02/09/2020,South,Women's Clothing,8,754
11/30/2020,East,Women's Clothing,6,288
5/18/2020,West,Children's Clothing,21,588
11/17/2020,East,Women's Clothing,15,868
2/23/2020,East,Men's Clothing,27,400
5/25/2020,East,Children's Clothing,12,198
10/11/2020,North,Women's Clothing,5,168
8/16/2020,East,Children's Clothing,9,338
10/09/2020,East,Men's Clothing,30,232
12/17/2020,North,Children's Clothing,30,364
10/09/2020,East,Women's Clothing,28,429
8/13/2020,North,Women's Clothing,20,208
09/09/2020,East,Women's Clothing,23,209
2/19/2020,North,Women's Clothing,33,168
4/20/2020,North,Children's Clothing,32,595
5/18/2020,South,Children's Clothing,4,729
02/04/2020,West,Men's Clothing,27,168
02/02/2020,West,Women's Clothing,32,558
2/23/2020,East,Women's Clothing,16,567
1/13/2020,East,Women's Clothing,12,272
12/27/2020,North,Men's Clothing,,493
09/07/2020,East,Men's Clothing,4,961
1/16/2020,East,Children's Clothing,15,165
10/18/2020,East,Men's Clothing,23,128
11/22/2020,East,Women's Clothing,19,132
5/31/2020,East,Women's Clothing,21,315
04/02/2020,East,Women's Clothing,33,240
01/05/2020,West,Women's Clothing,30,540
07/10/2020,North,Children's Clothing,14,264
2/13/2020,East,Children's Clothing,27,110
9/24/2020,East,Women's Clothing,7,117
10/17/2020,West,Men's Clothing,9,900
11/23/2020,North,Men's Clothing,,630
6/25/2020,East,Men's Clothing,27,868
03/10/2020,East,Children's Clothing,34,300
